Text,oh_label
"RT @BJDGAF I'm not sexist, but girls shouldn't wrestle",1
"Kat, a massive c*nt. The biggest ever on #mkr #cuntandandre",1
Kat is one nasty bitch #mkr,1
RT @P_Filippelli I'm not sexist but females can't rap,1
Is it tv editing .. or is Kat a natural nasty bitch   #MKR,1
RT @YouknowitsDoug: @YesYoureSexist you're a dumb bitch too,1
Kat I'd love to slap your face with a pork cutlet #MKR,1
Kat you stupid bitch  #mkr,1
I hope Kat breaks both of her ankles. #MKR,1
"Suck it Kat, you fucking cunt. #mkr",1
OMG the sluts are going to get through #mkr,1
RT @myallsw: Nice arm pit vagina #MKR http://t.co/VkBHQCwlJW,1
Watch the camera pan in on Cunt face #mkr,1
RT @Dylahoogaah: @YesYoureSexist shut up you dumb titwanger,1
Muslims raise their children on hate. http://t.co/D0rEi7OLAO,1
Nikki has massive #armpitvaginas #mkr,1
Hate these blonde bitches already #MKR,1
"OH MY GOD,  SOMEONE PUNCH KAT IN THE FACE.  #mkr",1
Oh kat.... never mind #cuntandandre #mkr,1
@RandomHero30 @rooshv @minasmith64 Who was she raped by?,1
BULLSHIT! Kat &amp; Andre you are deadset CUNTS! #MKR,1
RT @SxFlint93: @YesYoureSexist okay fuck off my shit pussy,1
How is that rotten egg Kat not in sudden death?! #MKR,1
Ugh. Fuck off Kat. Your turns next.  #mkr,1
"RT @JennaWilkins: Sucked in Kat, you mole #mkr #mkr2015",1
Kat and Andre you fucking cunts #mkr,1
Whyyyyyy 😩 I just want these dumb bitches gone #MKR,1
eat a dick kat and andre u areseholes #MKR,1
"Don't laugh Kat, you cunt #mkr",1
Stop smirking you vile bitch #mkr,1
@dankmtl Good night asshole. Hope you get run over by a bus.,1
Kat is a fucking bitch. #MKR,1
"Sucked in Kat, you mole #mkr #mkr2015",1
#MKR REALLY WISH KAT WOULD JUST GO TO SUDDEN DEATH FULL STOP.,1
"Go fuck yourself Kat, stupid slut #MKR #nofucksgiven",1
"Put a bra on Nikki, you dumb slut #MKR #MKR2015",1
Karma will fuck you in the ass and cum all over back Kat #MKR,1
#feistyfoodies can suck a fat one #mkr,1
Why does Kat have too be such a cunt? #mkr,1
"Kat, change your face #fuckerface #mkr",1
Can someone give Kat a slap across the head #mkr #bitch,1
Fuck off Kat! Douchebag. #MKR #bitchy,1
Kat you're fkn ass #MKR,1
STFU KAT YA BITCH! #MKR,1
RT @screamingfuck I'm not sexist but fuck you females,1
Surely THIS proves that those two cunts can't cook... #mkr,1
STOP SAYING SASS OR I WILL PUT MY FOOT UP YOUR ASS #MKR,1
"RT @hellokittyx958: Fuck you Kat, dumb bitch #MKR",1
Kat is such a fucking cow #MKR,1
KAT IS A FUCKING CUNT #mkr,1
FILTERED ABOVE Yup there still hot blondes #mkr,1
@ENDSexAbuseNOW Who is to blame for that?,1
@DViper31 Low IQs.,1
.@chouhos @unoriginal_babe The blank stare.,1
"Kat, your cooking appears to be as unpleasant as you. #MKR",1
#MKR the Sassy girls having a blonde moment!,1
"@HumanistFury You pay, yes.  Split, no.  She pays, no.",1
Kat has no class and a bad bra #cuntandandre #mkr,1
"#MKR Lloyd likes some thick juicy pork, poor Annie",1
".""@DustyPee: #cuntandandre Best thing I've heard! #mkr”",1
@boxofbudgies No doubt.  And yet...no less true.,1
"Men ""have a discussion."" Women ""argue.""",1
@BrokeTilIGetRch @CriticalKaiju Nope.,1
Kat that's KARMA B!TCH 🔥🔥🔥🔥 #mkr,1
.@38fanda Not even slightly...,1
@SweetWalkTalk Not when it just ends in rape charges...,1
Is Kat Sideshow Bob's Love Child?? #MKR,1
Tarts for tarts ;) #mkr #mykitchenrules,1
RT @Lord_Marx I'm not sexist but I hate all female rappers.,1
